Ahuyentador 60cc                   ;  900 ;200 ;assets/ahuyentador_naranja.jpg     ;cosm_alt       ;10041
Ahuyentador extra duración 60cc    ; 1000 ;200 ;assets/ahuyentador_verde.jpg       ;cosm_alt       ;10102
Pote emulsión surtido 250cc        ; 1000 ; 92 ;assets/cremas.jpg                  ;cosm_alt       ;  765
Pote emulsión CR32 AXTR 250cc      ;  850 ; 92 ;assets/emulsion_cr32.jpg           ;cosm_alt       ;10093
Jabón CR14 90gr                    ;  700 ;192 ;assets/jabon_cr14.jpg              ;cosm_alt       ; 4502
Agua de tocador 120cc              ;  900 ;108 ;assets/agua_tocador.jpg            ;cosm_inf       ; 2999
Esmaltes                           ;  900 ;351 ;assets/esmaltes.jpg                ;sstilo         ; 3983
Fragancias alternativas            ; 1500 ;108 ;assets/perfumes.jpg                ;sstilo         ; 4481
Limpiador Uñas 120cc               ; 1650 ; 72 ;assets/quitaesmalte.jpg            ;sstilo         ; 1472
Desinfectante en gel 250cc c/bomba ; 1700 ; 42 ;assets/alcohol_250.jpg             ;sstilo         ; 4477
Desinfectante en gel 60cc T flip   ;  600 ;384 ;assets/alcohol_60.jpg              ;sstilo         ; 4445
Gel pote 480gr                     ; 1300 ; 54 ;assets/gel.jpg                     ;sstilo         ;  310
Aromatizador textil                ; 1700 ; 48 ;assets/aromatizador.jpg            ;sstilo         ; 4468
Talco infantil                     ;  700 ;126 ;assets/talco.jpg                   ;cosm_inf       ; 4443
CR01 Emulsión AT3 185gr            ;  750 ;120 ;assets/emulsion_at3.jpg            ;cosm_alt       ;  427
Crema en lata 55cc                 ; 1100 ;330 ;assets/crema_lata.jpg              ;cosm_alt       ; 4464
Blister labial infantil x18        ;11000 ; 25 ;assets/blister_labial_infantil.jpg ;cosm_inf       ; 4541
Kit shampoo-enjuague               ; 2100 ; 46 ;assets/kit_baño.jpg                ;cosm_inf       ; 1427
Labial infantil                    ;  700 ;600 ;assets/labial_infantil.jpg         ;cosm_inf       ; 4004
Maquillaje artístico infantil      ; 1000 ;450 ;assets/maquillaje_infantil.jpg     ;cosm_inf       ; 4447
Blister labial x18                 ;11000 ; 25 ;assets/blister_labial_sstilo.jpg   ;sstilo         ; 4485
Labial                             ;  700 ;600 ;assets/labial_sstilo.jpg           ;sstilo         ; 4441
